time,open,high,low,close,Return,Kelly Fraction
2021-01-22,3855.0,3856.4,3820.7,3837.6,-0.004281155133494252,0.2456652126500267
2021-01-25,3842.3,3860.1,3796.6,3854.8,0.004481967896602157,0.2714569564285718
2021-01-26,3853.7,3870.2,3829.6,3854.5,-7.782504928921519e-05,0.31141630769409495
2021-01-27,3855.3,3860.1,3714.4,3742.0,-0.02918666493708655,0.31862651026006883
2021-01-28,3743.3,3830.2,3711.1,3774.4,0.008658471405665447,0.15689009176894572
2021-01-29,3775.2,3782.7,3692.5,3703.6,-0.0187579482831709,0.1434095683001628
2021-02-01,3696.5,3784.1,3664.4,3770.7,0.018117507290204005,0.011229408035327095
2021-02-02,3772.0,3843.2,3767.2,3835.9,0.017291219137030245,0.07785345056503544
2021-02-03,3838.7,3850.8,3815.5,3839.7,0.000990641049036567,0.14512577802875226
2021-02-04,3840.9,3876.4,3818.8,3873.6,0.00882881475115238,0.20075187809209502
2021-02-05,3873.2,3894.4,3867.0,3890.7,0.004414498141263934,0.25037393951114983
2021-02-08,3893.3,3917.7,3891.6,3917.2,0.006811113681342684,0.2556330875409184
2021-02-09,3918.8,3918.8,3901.2,3917.3,2.5528438680755272e-05,0.26923532735784883
2021-02-10,3918.1,3934.2,3884.0,3913.6,-0.0009445281188574794,0.2403738010870511
2021-02-11,3912.5,3925.1,3890.1,3911.3,-0.0005876941946033609,0.2431292832129387
2021-02-12,3909.8,3941.4,3895.6,3941.0,0.007593383274103083,0.2277068325894052
2021-02-15,3942.0,3957.1,3941.1,3955.8,0.003755392032479099,0.26452173647798477
2021-02-16,3955.3,3963.8,3924.0,3934.1,-0.005485616057434695,0.3252572675632053
2021-02-17,3933.7,3936.7,3901.1,3930.8,-0.0008388195521211728,0.26779403796171447
2021-02-18,3929.8,3939.6,3884.5,3914.4,-0.004172178691360551,0.22554654884028205
2021-02-19,3913.3,3934.5,3894.0,3902.3,-0.0030911506233394226,0.15240594520836628
2021-02-22,3911.9,3917.4,3864.6,3880.7,-0.005535197191400054,0.10171966365962186
2021-02-23,3882.6,3899.5,3808.1,3878.5,-0.0005669080320560571,0.11355371807712858
2021-02-24,3880.4,3931.3,3854.9,3927.0,0.012504834343173954,0.10364800007036953
2021-02-25,3925.5,3937.5,3813.2,3824.1,-0.02620320855614977,0.13568794551433672
2021-02-26,3825.3,3861.0,3787.4,3811.5,-0.0032948929159801743,0.04037252351699185
2021-03-01,3819.8,3915.3,3815.3,3905.9,0.024767152039879337,0.07570192252927287
2021-03-02,3906.1,3909.7,3868.6,3869.2,-0.009396041885353035,0.137730779430488
2021-03-03,3871.6,3900.5,3816.4,3817.6,-0.013336090147834101,0.07495365184013159
2021-03-04,3818.8,3843.7,3722.4,3768.1,-0.012966261525565792,-0.023095254719219537
2021-03-05,3766.2,3851.7,3730.5,3842.5,0.019744698919880177,-0.07506212437451233
2021-03-08,3859.3,3881.4,3798.1,3832.2,-0.00268054651919325,0.01198648958714004
2021-03-09,3833.1,3903.3,3828.5,3875.2,0.011220708731277007,-0.01174456539768719
2021-03-10,3877.3,3917.9,3858.7,3909.3,0.00879954582989284,0.024765081895146136
2021-03-11,3909.4,3960.4,3894.7,3936.6,0.006983347402348183,0.14872779761465973
2021-03-12,3938.5,3948.6,3911.0,3943.6,0.0017781842198851816,0.14485271855027237
2021-03-15,3948.1,3970.5,3922.6,3967.0,0.0059336646718735064,0.22401484525188986
2021-03-16,3966.3,3981.3,3953.9,3968.4,0.00035291152004046644,0.19737022472859111
2021-03-17,3967.1,3983.1,3935.3,3971.0,0.0006551758895272375,0.15166384317926934
2021-03-18,3973.6,3988.3,3911.7,3921.3,-0.012515739108536872,0.1506326931825391
2021-03-19,3923.7,3933.9,3886.2,3907.6,-0.0034937393211436074,0.059499087302642646
2021-03-22,3901.0,3955.6,3896.2,3944.2,0.009366362984952303,0.02447236996433226
2021-03-23,3944.2,3949.7,3901.8,3914.9,-0.0074286293798487835,0.034429259320255375
2021-03-24,3915.6,3942.1,3888.2,3893.2,-0.005542925745229854,0.0035066832468569667
2021-03-25,3895.9,3919.5,3852.8,3917.3,0.006190280489057898,-0.014056514637954648
2021-03-26,3916.8,3978.3,3911.0,3972.9,0.014193449569856798,0.012082278549198286
2021-03-29,3971.4,3982.1,3939.7,3973.6,0.0001761937124014068,0.035847736645263105
2021-03-30,3975.9,3978.9,3944.4,3959.6,-0.0035232534729212617,0.023277179396044595
2021-03-31,3958.8,3993.7,3951.8,3975.9,0.00411657743206395,0.0307426987434777
2021-04-01,3978.1,4025.2,3974.7,4024.4,0.012198495938026577,0.051411922800284435
2021-04-02,4024.2,4048.0,4022.7,4037.2,0.0031805983500645674,0.11284756243888011
2021-04-05,4036.9,4083.8,4030.8,4080.1,0.010626176558010458,0.1422175507365763
2021-04-06,4078.6,4086.0,4061.9,4076.6,-0.0008578221122030882,0.2035761983438787
2021-04-07,4076.3,4085.1,4066.6,4084.6,0.001962419663445125,0.20243377853071345
2021-04-08,4083.4,4107.5,4081.4,4107.3,0.00555745972677868,0.17296855896940058
2021-04-09,4105.8,4130.1,4089.8,4122.1,0.0036033403939328412,0.31180647956625335
2021-04-12,4121.6,4132.6,4112.7,4130.9,0.002134834186458212,0.3507800365996786
2021-04-13,4130.7,4148.1,4109.5,4142.4,0.002783896971604305,0.2952624402192731
2021-04-14,4141.9,4152.0,4121.5,4131.4,-0.0026554654306681913,0.368272564714889
2021-04-15,4130.8,4174.1,4127.4,4170.3,0.009415694437721056,0.4251023959437736
2021-04-16,4169.6,4191.0,4161.9,4180.6,0.0024698462940315746,0.5320294149532627
2021-04-19,4173.5,4182.3,4150.7,4165.1,-0.003707601779648906,0.5039168927404121
2021-04-20,4165.2,4175.1,4118.6,4128.0,-0.008907349163285505,0.49782813815722365
2021-04-21,4129.7,4174.6,4121.1,4165.0,0.008963178294573604,0.3973396595504069
2021-04-22,4165.5,4179.8,4123.5,4137.9,-0.006506602641056514,0.3977793269787857
2021-04-23,4137.8,4194.2,4135.4,4173.6,0.008627564706735535,0.3187596377174484
2021-04-26,4175.9,4194.1,4171.5,4189.5,0.0038096607245543535,0.3399398652191236
2021-04-27,4188.8,4199.0,4175.4,4188.4,-0.00026256116481693237,0.33365300955976757
2021-04-28,4189.2,4202.3,4181.4,4193.4,0.0011937732785789468,0.3144443768161017
2021-04-29,4192.8,4218.9,4176.2,4207.9,0.003457814661134151,0.31599771917188285
2021-04-30,4208.3,4208.8,4174.8,4187.3,-0.0048955536015588,0.4159323806964767
2021-05-03,4192.4,4209.7,4188.4,4190.5,0.0007642156043272674,0.40773662192385157
2021-05-04,4191.5,4192.4,4127.7,4164.9,-0.006109056198544405,0.3866093328051726
2021-05-05,4166.0,4187.6,4160.8,4165.6,0.0001680712622154079,0.39495376272247756
2021-05-06,4167.1,4204.1,4147.2,4203.6,0.009122335317841346,0.45190068127570593
2021-05-07,4203.1,4238.6,4198.1,4232.8,0.006946426872204814,0.4586036234849805
2021-05-10,4232.4,4244.4,4178.3,4181.5,-0.01211963711963715,0.4413304239921077
2021-05-11,4183.8,4191.3,4110.1,4146.2,-0.008441946669855316,0.3399687699148737
2021-05-12,4146.9,4155.9,4057.2,4057.9,-0.02129660894312857,0.3075350252682503
2021-05-13,4061.0,4132.0,4034.8,4116.3,0.01439168042583594,0.13860666766234367
2021-05-14,4115.9,4183.5,4110.5,4178.3,0.015062070305857267,0.14954675561533395
2021-05-17,4176.6,4183.8,4142.3,4166.2,-0.0028959146064189145,0.20130321936494466
2021-05-18,4164.8,4184.4,4117.3,4119.6,-0.011185252748307728,0.1301039626237352
2021-05-19,4121.2,4127.0,4060.5,4112.0,-0.0018448393047869605,0.06840731692979327
2021-05-20,4112.9,4173.6,4088.5,4157.1,0.010967898832684897,0.04398517336288279
2021-05-21,4156.7,4189.2,4150.9,4160.7,0.0008659883091577392,0.07120767730565744
2021-05-24,4152.7,4209.8,4145.9,4202.6,0.010070420842646755,0.057798745955771266
2021-05-25,4201.9,4216.1,4182.8,4191.6,-0.0026174273069052845,0.09481878259264519
2021-05-26,4191.4,4207.4,4184.0,4196.8,0.0012405763908769352,0.06447779081090824
2021-05-27,4196.5,4214.4,4180.7,4213.9,0.004074532977506484,0.08824749837808277
2021-05-28,4214.0,4219.9,4204.4,4206.3,-0.001803554901634974,0.06324346059040688
2021-05-31,4208.5,4213.3,4193.2,4195.6,-0.0025438033426050666,0.03814338072200755
2021-06-01,4198.0,4232.9,4197.5,4200.6,0.001191724663933691,0.04436734638944428
2021-06-02,4199.1,4217.4,4192.7,4209.2,0.00204732657239437,0.1032911802389895
2021-06-03,4209.3,4215.1,4167.4,4193.5,-0.003729924926351713,0.06920006123163726
2021-06-04,4194.3,4233.6,4179.2,4229.6,0.008608560868010207,0.08593852782442325
2021-06-07,4232.2,4233.9,4215.6,4228.5,-0.000260071874409018,0.08584132223992383
2021-06-08,4228.8,4237.9,4207.7,4226.5,-0.0004729809625162451,0.06013458537187571
2021-06-09,4226.7,4236.3,4218.3,4223.2,-0.0007807878859577011,0.058890051277356296
2021-06-10,4224.0,4249.9,4208.1,4239.7,0.003906989960219764,0.04485454854363
2021-06-11,4240.2,4248.4,4231.8,4245.9,0.0014623676203504576,0.047140613551545134
2021-06-14,4248.8,4257.4,4233.8,4255.2,0.002190348336041925,0.08678145403796707
2021-06-15,4254.9,4267.2,4237.7,4247.3,-0.0018565519834554678,0.09367985895832705
2021-06-16,4249.2,4251.4,4201.4,4212.4,-0.008216984908059333,0.11824732104357487
2021-06-17,4213.1,4232.3,4193.3,4224.4,0.002848732314120195,0.06556190655390841
2021-06-18,4224.4,4229.6,4151.1,4151.8,-0.017185872549947745,0.0338242454427525
2021-06-21,4157.5,4229.8,4137.0,4228.5,0.01847391492846473,-0.10833384971876212
2021-06-22,4229.3,4255.8,4216.1,4247.5,0.004493319143904495,0.06298878697212104
2021-06-23,4248.4,4258.8,4241.2,4244.2,-0.0007769276044732321,0.13192936230760924
2021-06-24,4242.8,4273.2,4242.5,4272.7,0.00671504641628573,0.23933084469132054
2021-06-25,4272.2,4286.8,4264.2,4284.6,0.002785124160367136,0.21537676008838835
2021-06-28,4286.9,4292.0,4274.7,4291.1,0.00151706110255323,0.16773947797944938
2021-06-29,4289.4,4300.8,4281.3,4294.5,0.0007923376290461803,0.20494632663216888
2021-06-30,4294.9,4303.6,4278.9,4302.9,0.0019559902200487755,0.3002592783509662
2021-07-01,4303.6,4321.7,4295.6,4319.3,0.003811383020753567,0.33767223494585036
2021-07-02,4318.1,4355.4,4317.3,4347.4,0.006505683791354855,0.31090618047325025
2021-07-05,4348.5,4354.7,4341.8,4350.4,0.0006900676266274886,0.332376956465898
2021-07-06,4351.0,4356.6,4314.5,4337.4,-0.0029882309672674134,0.2948914121424784
2021-07-07,4337.2,4362.2,4329.7,4361.3,0.005510213491953797,0.29177311541794826
2021-07-08,4359.9,4360.4,4287.7,4319.0,-0.009698942975718272,0.3100983842757443
2021-07-09,4319.2,4371.9,4301.7,4370.0,0.011808288955776902,0.2001813866756617
2021-07-12,4370.5,4387.1,4350.0,4384.3,0.0032723112128147935,0.2814594666104015
2021-07-13,4385.2,4392.2,4365.2,4368.1,-0.0036950026229956023,0.32837395970938393
2021-07-14,4367.6,4392.5,4358.1,4374.2,0.0013964881756369785,0.2814931503081085
2021-07-15,4374.3,4377.7,4340.3,4355.4,-0.004297928764116943,0.27891280110364153
2021-07-16,4355.5,4375.4,4322.3,4326.3,-0.006681361069017622,0.2748591767939184
2021-07-19,4327.4,4328.3,4232.5,4269.6,-0.013105887247763626,0.17388529592770316
2021-07-20,4269.0,4336.8,4261.1,4326.9,0.013420460933108336,0.0777047884689425
2021-07-21,4327.0,4363.5,4318.0,4363.5,0.00845871177979629,0.16430826552550595
2021-07-22,4361.7,4379.4,4349.8,4378.9,0.00352927695657157,0.21899526158678187
2021-07-23,4378.5,4415.9,4375.3,4407.2,0.006462810294822985,0.21733158498853203
2021-07-26,4410.7,4424.7,4383.5,4423.2,0.0036304229442729596,0.23840177917277203
2021-07-27,4423.7,4423.7,4372.2,4390.6,-0.007370229697956088,0.24410817099428173
2021-07-28,4388.1,4415.5,4386.1,4400.0,0.0021409374572951556,0.21009757481911692
2021-07-29,4399.8,4430.3,4388.0,4404.0,0.0009090909090909705,0.2821007004308517
2021-07-30,4403.6,4412.4,4377.8,4402.5,-0.00034059945504083533,0.2746147130729775
2021-08-02,4403.9,4427.1,4384.7,4390.8,-0.0026575809199318456,0.38351577029739314
2021-08-03,4390.9,4424.4,4373.1,4416.7,0.0058986972761228,0.28352039601401563
2021-08-04,4418.2,4422.5,4399.5,4404.1,-0.002852808658047712,0.28942394828996654
2021-08-05,4403.5,4430.3,4401.3,4428.8,0.00560841034490589,0.27425111014523845
2021-08-06,4427.1,4440.2,4423.2,4437.2,0.001896676300577882,0.26943154246130285
2021-08-09,4434.9,4438.6,4419.2,4434.2,-0.0006761020463355027,0.26547568942777094
2021-08-10,4434.5,4445.5,4423.5,4436.3,0.00047359162870419524,0.24072621963004628
2021-08-11,4435.9,4449.7,4427.4,4448.1,0.0026598742195071967,0.239294053868947
2021-08-12,4445.9,4461.8,4436.0,4461.1,0.002922596164654623,0.24244286456895273
2021-08-13,4460.2,4469.1,4456.5,4465.8,0.0010535518145748934,0.23845846336611493
2021-08-16,4462.7,4480.9,4437.3,4476.5,0.0023959872811141203,0.21212075076883485
2021-08-17,4475.8,4476.5,4417.2,4442.8,-0.007528202837037812,0.22073151909175856
2021-08-18,4441.7,4454.2,4386.3,4394.7,-0.010826505807148723,0.18627530924753244
2021-08-19,4393.6,4418.6,4352.2,4406.9,0.002776071176644468,0.06318109090040151
2021-08-20,4406.9,4444.2,4376.6,4441.6,0.007874015748031704,0.1622839663576364
2021-08-23,4438.3,4489.9,4438.0,4485.7,0.00992885446685876,0.13814698636856595
2021-08-24,4485.0,4496.0,4481.0,4487.9,0.0004904474218070387,0.1776528179324092
2021-08-25,4487.9,4502.1,4480.4,4497.7,0.002183649368301399,0.2191569305934689
2021-08-26,4497.9,4498.0,4469.0,4473.9,-0.005291593481112633,0.2233151776169496
2021-08-27,4474.0,4513.3,4466.0,4511.1,0.008314893046335481,0.2154954300780393
2021-08-30,4509.8,4537.9,4503.9,4533.3,0.004921194387178307,0.31888608270522895
2021-08-31,4531.8,4544.8,4515.7,4530.6,-0.0005955926146515855,0.4522518861571322
2021-09-01,4530.1,4542.1,4521.4,4524.0,-0.001456760693947956,0.38416507333864935
2021-09-02,4523.4,4545.4,4517.5,4538.1,0.0031167108753316075,0.3196579458827527
2021-09-03,4537.8,4550.4,4520.9,4534.9,-0.0007051409180054424,0.3177657056186803
2021-09-06,4535.6,4549.5,4525.3,4546.0,0.0024476835211362236,0.26446574661692085
2021-09-07,4545.0,4545.2,4512.5,4519.1,-0.005917289925208902,0.25805116905255443
2021-09-08,4519.0,4525.8,4493.9,4513.0,-0.0013498262928459681,0.2715808779372467
2021-09-09,4512.1,4530.1,4486.9,4491.9,-0.00467538222911601,0.23385347837987241
2021-09-10,4493.0,4519.2,4458.2,4462.7,-0.006500589950800273,0.17523940550245132
2021-09-13,4466.3,4493.8,4445.4,4475.8,0.002935442669236288,0.12150625919864874
2021-09-14,4473.9,4488.5,4435.3,4446.9,-0.006456946244246975,0.1725157054470856
2021-09-15,4448.0,4487.1,4437.2,4485.7,0.008725179338415545,0.0655043739032248
2021-09-16,4484.9,4486.6,4442.8,4469.4,-0.003633769534297948,0.15902389692223984
2021-09-17,4469.9,4482.0,4417.7,4418.2,-0.011455676377142288,0.08269608389106055
2021-09-20,4425.4,4428.8,4305.5,4353.8,-0.014576071703408577,-0.032476232970721094
2021-09-21,4354.9,4406.4,4339.9,4346.9,-0.0015848224539484201,-0.14973892313143697
2021-09-22,4347.7,4416.5,4331.7,4396.8,0.011479445121810983,-0.15784250579947715
2021-09-23,4396.4,4465.7,4396.3,4449.8,0.012054221251819541,-0.07677173018565288
2021-09-24,4450.0,4463.8,4421.3,4457.0,0.0016180502494493876,-0.011504861263163252
2021-09-27,4458.9,4482.6,4436.0,4440.0,-0.003814224814897904,-0.007951610776019724
2021-09-28,4440.3,4452.0,4345.6,4356.9,-0.01871621621621633,-0.04439416629053969
2021-09-29,4360.6,4388.8,4354.4,4366.3,0.0021574973031284195,-0.11059610715775307
2021-09-30,4369.6,4397.6,4304.6,4308.3,-0.013283558161372278,-0.03521544768030589
2021-10-01,4311.4,4376.1,4269.9,4361.5,0.01234825801360162,-0.12981343982884125
2021-10-04,4363.5,4371.6,4278.4,4304.7,-0.013023042531239315,-0.09755102158378547
2021-10-05,4306.4,4369.4,4279.7,4345.7,0.009524473250168475,-0.2395707296812908
2021-10-06,4345.7,4367.7,4283.5,4365.7,0.004602250500494787,-0.1652791744254444
2021-10-07,4366.0,4430.7,4366.0,4399.0,0.007627642760611231,-0.14809358784529983
2021-10-08,4398.5,4416.4,4385.4,4389.2,-0.002227779040691158,-0.08062132755709923
2021-10-11,4395.4,4416.1,4353.6,4356.9,-0.007358972022236454,-0.13698673321083193
2021-10-12,4358.4,4374.4,4326.9,4338.4,-0.004246138309348391,-0.19682784587618268
2021-10-13,4337.6,4373.9,4329.2,4365.0,0.006131292642448827,-0.215396979656615
2021-10-14,4364.9,4446.2,4364.8,4444.2,0.018144329896907285,-0.17767872457372286
2021-10-15,4442.6,4476.4,4435.2,4473.8,0.006660366320147659,-0.0856702482217027
2021-10-18,4478.0,4488.6,4444.9,4484.2,0.002324645715052087,-0.054200234697656655
2021-10-19,4485.2,4526.4,4481.0,4524.1,0.008897908211052297,-0.05480292872048772
2021-10-20,4523.8,4541.0,4513.1,4533.6,0.0020998651665524726,0.010101393275209408
2021-10-21,4533.6,4551.7,4518.8,4540.0,0.0014116816657843145,0.026262728187100105
2021-10-22,4539.2,4559.8,4523.8,4537.6,-0.0005286343612334043,0.05662127183444059
